1/2663	(GI:30679533) is finished	(70.42 mins )
66/2663	(GI:30678332) is finished	(56.8 mins )
67/2663	(GI:15230785) is finished	(56.76 mins )
68/2663	(GI:15232645) is finished	(56.56 mins )
69/2663	(GI:15228352) is finished	(56.25 mins )
70/2663	(GI:186510002) is finished	(55.57 mins )
71/2663	(GI:22330893) is finished	(56.1 mins )
72/2663	(GI:18396383) is finished	(55.57 mins )
73/2663	(GI:145338189) is finished	(55.33 mins )
74/2663	(GI:18399293) is finished	(55.02 mins )
75/2663	(GI:15230002) is finished	(54.54 mins )
76/2663	(GI:186510110) is finished	(53.96 mins )
77/2663	(GI:15229944) is finished	(54.24 mins )
78/2663	(GI:15229364) is finished	(53.8 mins )
79/2663	(GI:42572379) is finished	(53.39 mins )
80/2663	(GI:18398726) is finished	(52.87 mins )
81/2663	(GI:18400621) is finished	(53.0 mins )
82/2663	(GI:30678440) is finished	(52.58 mins )
83/2663	(GI:145332621) is finished	(53.04 mins )
84/2663	(GI:30678824) is finished	(53.3 mins )
85/2663	(GI:15232845) is finished	(53.16 mins )
86/2663	(GI:145338056) is finished	(53.26 mins )
87/2663	(GI:18400450) is finished	(53.45 mins )
88/2663	(GI:30681985) is finished	(53.42 mins )
89/2663	(GI:30678270) is finished	(53.52 mins )
90/2663	(GI:42572277) is finished	(53.19 mins )
91/2663	(GI:186510028) is finished	(52.83 mins )
92/2663	(GI:22331151) is finished	(52.59 mins )
93/2663	(GI:22330847) is finished	(52.22 mins )
94/2663	(GI:145332377) is finished	(51.76 mins )
95/2663	(GI:186509669) is finished	(51.66 mins )
96/2663	(GI:18397408) is finished	(51.66 mins )
97/2663	(GI:238479752) is finished	(51.79 mins )
98/2663	(GI:42564117) is finished	(51.55 mins )
99/2663	(GI:30679518) is finished	(51.27 mins )
100/2663	(GI:15230674) is finished	(51.17 mins )
101/2663	(GI:15230601) is finished	(51.28 mins )
102/2663	(GI:15232764) is finished	(51.42 mins )
103/2663	(GI:145332022) is finished	(51.45 mins )
104/2663	(GI:30680549) is finished	(51.45 mins )
105/2663	(GI:18400244) is finished	(51.31 mins )
106/2663	(GI:15229067) is finished	(51.74 mins )
107/2663	(GI:22330888) is finished	(51.86 mins )
108/2663	(GI:145332024) is finished	(51.69 mins )
109/2663	(GI:42564128) is finished	(51.57 mins )
110/2663	(GI:186509725) is finished	(51.45 mins )
111/2663	(GI:42572409) is finished	(51.99 mins )
112/2663	(GI:145332599) is finished	(52.06 mins )
113/2663	(GI:42563875) is finished	(52.31 mins )
114/2663	(GI:145331976) is finished	(52.09 mins )
115/2663	(GI:145332012) is finished	(51.98 mins )
116/2663	(GI:15232511) is finished	(52.08 mins )
117/2663	(GI:18396497) is finished	(52.13 mins )
118/2663	(GI:18395926) is finished	(51.77 mins )
119/2663	(GI:15232236) is finished	(51.41 mins )
120/2663	(GI:18401179) is finished	(51.62 mins )
121/2663	(GI:145338243) is finished	(51.54 mins )
122/2663	(GI:79313159) is finished	(51.61 mins )
123/2663	(GI:42572221) is finished	(51.27 mins )
124/2663	(GI:186510077) is finished	(51.1 mins )
125/2663	(GI:15228593) is finished	(50.76 mins )
126/2663	(GI:15231902) is finished	(50.83 mins )
127/2663	(GI:18401978) is finished	(50.79 mins )
128/2663	(GI:15231930) is finished	(50.53 mins )
129/2663	(GI:18402031) is finished	(50.95 mins )
130/2663	(GI:186509740) is finished	(51.09 mins )
131/2663	(GI:30681787) is finished	(51.08 mins )
132/2663	(GI:15231365) is finished	(51.17 mins )
133/2663	(GI:15230221) is finished	(50.92 mins )
134/2663	(GI:15231959) is finished	(51.14 mins )
135/2663	(GI:30678280) is finished	(51.27 mins )
136/2663	(GI:145331738) is finished	(51.17 mins )
137/2663	(GI:186509907) is finished	(50.86 mins )
138/2663	(GI:18399975) is finished	(51.1 mins )
139/2663	(GI:15230914) is finished	(50.81 mins )
140/2663	(GI:145332363) is finished	(50.61 mins )
141/2663	(GI:30684702) is finished	(50.91 mins )
142/2663	(GI:30679600) is finished	(51.06 mins )
143/2663	(GI:15228276) is finished	(50.79 mins )
144/2663	(GI:79313171) is finished	(50.74 mins )
145/2663	(GI:18398942) is finished	(50.61 mins )
146/2663	(GI:15230683) is finished	(50.69 mins )
147/2663	(GI:30683193) is finished	(50.94 mins )
148/2663	(GI:42572411) is finished	(50.74 mins )
149/2663	(GI:145338434) is finished	(50.84 mins )
150/2663	(GI:15228610) is finished	(50.69 mins )
151/2663	(GI:15229594) is finished	(50.64 mins )
152/2663	(GI:145322900) is finished	(50.48 mins )
153/2663	(GI:15230615) is finished	(50.21 mins )
154/2663	(GI:22330985) is finished	(50.57 mins )
155/2663	(GI:79313245) is finished	(50.41 mins )
156/2663	(GI:79312679) is finished	(50.35 mins )
157/2663	(GI:18398808) is finished	(50.27 mins )
158/2663	(GI:15231213) is finished	(50.03 mins )
159/2663	(GI:15228175) is finished	(50.0 mins )
160/2663	(GI:22330951) is finished	(49.92 mins )
161/2663	(GI:15232541) is finished	(49.9 mins )
162/2663	(GI:30678379) is finished	(50.2 mins )
163/2663	(GI:145332603) is finished	(49.94 mins )
164/2663	(GI:15230160) is finished	(49.73 mins )
165/2663	(GI:186509883) is finished	(49.64 mins )
166/2663	(GI:145338309) is finished	(49.43 mins )
167/2663	(GI:18398974) is finished	(49.54 mins )
168/2663	(GI:18397669) is finished	(49.34 mins )
169/2663	(GI:79400588) is finished	(49.15 mins )
170/2663	(GI:42572241) is finished	(49.05 mins )
171/2663	(GI:42572249) is finished	(48.9 mins )
172/2663	(GI:15229529) is finished	(48.67 mins )
173/2663	(GI:30679653) is finished	(48.43 mins )
174/2663	(GI:145332609) is finished	(48.24 mins )
175/2663	(GI:15230154) is finished	(48.14 mins )
176/2663	(GI:15229259) is finished	(48.39 mins )
177/2663	(GI:15228300) is finished	(48.62 mins )
178/2663	(GI:18400046) is finished	(48.45 mins )
179/2663	(GI:79313257) is finished	(48.37 mins )
180/2663	(GI:18400268) is finished	(48.31 mins )
181/2663	(GI:79313131) is finished	(48.13 mins )
182/2663	(GI:240255290) is finished	(48.01 mins )
183/2663	(GI:15231356) is finished	(48.39 mins )
184/2663	(GI:15229243) is finished	(48.44 mins )
185/2663	(GI:30684850) is finished	(48.31 mins )
186/2663	(GI:15229656) is finished	(48.48 mins )
187/2663	(GI:42572353) is finished	(48.57 mins )
188/2663	(GI:145331724) is finished	(48.39 mins )
189/2663	(GI:79313281) is finished	(48.61 mins )
190/2663	(GI:79312721) is finished	(48.57 mins )
191/2663	(GI:240255275) is finished	(48.4 mins )
192/2663	(GI:15229956) is finished	(48.3 mins )
193/2663	(GI:15232005) is finished	(48.3 mins )
194/2663	(GI:79313299) is finished	(48.35 mins )
195/2663	(GI:15229920) is finished	(48.44 mins )
196/2663	(GI:15229009) is finished	(48.48 mins )
197/2663	(GI:15229761) is finished	(48.54 mins )
198/2663	(GI:22330875) is finished	(48.86 mins )
199/2663	(GI:15229743) is finished	(48.94 mins )
200/2663	(GI:18399624) is finished	(48.84 mins )
201/2663	(GI:238479654) is finished	(49.03 mins )
202/2663	(GI:15230646) is finished	(48.86 mins )
203/2663	(GI:18397925) is finished	(48.94 mins )
204/2663	(GI:186509843) is finished	(49.02 mins )
205/2663	(GI:18400266) is finished	(48.94 mins )
206/2663	(GI:42572317) is finished	(48.87 mins )
207/2663	(GI:15231885) is finished	(48.98 mins )
208/2663	(GI:145332399) is finished	(48.92 mins )
209/2663	(GI:79312808) is finished	(48.72 mins )
210/2663	(GI:186509701) is finished	(48.51 mins )
211/2663	(GI:186510048) is finished	(48.3 mins )
212/2663	(GI:15232828) is finished	(48.3 mins )
213/2663	(GI:186509891) is finished	(48.12 mins )
214/2663	(GI:18395991) is finished	(48.01 mins )
215/2663	(GI:15232846) is finished	(48.15 mins )
216/2663	(GI:42572441) is finished	(48.01 mins )
217/2663	(GI:186510207) is finished	(47.82 mins )
218/2663	(GI:238479624) is finished	(47.72 mins )
219/2663	(GI:18398696) is finished	(47.71 mins )
220/2663	(GI:79313237) is finished	(47.64 mins )
221/2663	(GI:18398267) is finished	(47.75 mins )
222/2663	(GI:18402246) is finished	(47.74 mins )
223/2663	(GI:238479704) is finished	(47.71 mins )
224/2663	(GI:186510090) is finished	(47.54 mins )
225/2663	(GI:42564104) is finished	(47.45 mins )
226/2663	(GI:18402280) is finished	(47.27 mins )
227/2663	(GI:30678935) is finished	(47.27 mins )
228/2663	(GI:15231952) is finished	(47.18 mins )
229/2663	(GI:15231357) is finished	(47.4 mins )
230/2663	(GI:42570112) is finished	(47.64 mins )
231/2663	(GI:18397007) is finished	(47.53 mins )
232/2663	(GI:30680332) is finished	(47.45 mins )
233/2663	(GI:18401345) is finished	(47.46 mins )
234/2663	(GI:30678834) is finished	(47.38 mins )
235/2663	(GI:30679401) is finished	(47.57 mins )
236/2663	(GI:42564100) is finished	(47.67 mins )
237/2663	(GI:18398673) is finished	(47.82 mins )
238/2663	(GI:30681440) is finished	(47.73 mins )
239/2663	(GI:145332627) is finished	(47.66 mins )
240/2663	(GI:145331720) is finished	(47.62 mins )
241/2663	(GI:15228955) is finished	(47.74 mins )
242/2663	(GI:145332375) is finished	(47.57 mins )
243/2663	(GI:18399596) is finished	(47.43 mins )
244/2663	(GI:30680456) is finished	(47.53 mins )
245/2663	(GI:18401609) is finished	(47.67 mins )
246/2663	(GI:186509738) is finished	(47.49 mins )
247/2663	(GI:15232671) is finished	(47.5 mins )
248/2663	(GI:18399355) is finished	(47.38 mins )
249/2663	(GI:15231929) is finished	(47.39 mins )
250/2663	(GI:15230472) is finished	(47.24 mins )
251/2663	(GI:42570110) is finished	(47.31 mins )
252/2663	(GI:42563873) is finished	(47.45 mins )
253/2663	(GI:18396441) is finished	(47.37 mins )
254/2663	(GI:15232485) is finished	(47.37 mins )
255/2663	(GI:15231327) is finished	(47.22 mins )
256/2663	(GI:15229866) is finished	(47.33 mins )
257/2663	(GI:42564016) is finished	(47.34 mins )
258/2663	(GI:15229868) is finished	(47.35 mins )
259/2663	(GI:15230753) is finished	(47.49 mins )
260/2663	(GI:18397548) is finished	(47.33 mins )
261/2663	(GI:18397622) is finished	(47.48 mins )
262/2663	(GI:186510115) is finished	(47.39 mins )
263/2663	(GI:15231485) is finished	(47.31 mins )
264/2663	(GI:186510050) is finished	(47.2 mins )
265/2663	(GI:30685065) is finished	(47.27 mins )
266/2663	(GI:15228303) is finished	(47.33 mins )
267/2663	(GI:15232200) is finished	(47.32 mins )
268/2663	(GI:18398044) is finished	(47.33 mins )
269/2663	(GI:15229227) is finished	(47.34 mins )
270/2663	(GI:15229330) is finished	(47.34 mins )
271/2663	(GI:15229203) is finished	(47.45 mins )
272/2663	(GI:30680468) is finished	(47.33 mins )
273/2663	(GI:18401821) is finished	(47.34 mins )
274/2663	(GI:30678517) is finished	(47.5 mins )
275/2663	(GI:79313251) is finished	(47.42 mins )
276/2663	(GI:186509950) is finished	(47.26 mins )
277/2663	(GI:15231966) is finished	(47.28 mins )
278/2663	(GI:15229033) is finished	(47.22 mins )
279/2663	(GI:186510182) is finished	(47.21 mins )
280/2663	(GI:15232123) is finished	(47.15 mins )
281/2663	(GI:22330856) is finished	(47.16 mins )
282/2663	(GI:18401158) is finished	(47.25 mins )
283/2663	(GI:15232908) is finished	(47.4 mins )
284/2663	(GI:18400044) is finished	(47.55 mins )
285/2663	(GI:18395852) is finished	(47.69 mins )
286/2663	(GI:238479731) is finished	(47.58 mins )
287/2663	(GI:42572461) is finished	(47.56 mins )
288/2663	(GI:15228331) is finished	(47.67 mins )
289/2663	(GI:30683064) is finished	(47.69 mins )
290/2663	(GI:42572471) is finished	(47.8 mins )
291/2663	(GI:15228267) is finished	(47.78 mins )
292/2663	(GI:18400270) is finished	(47.81 mins )
293/2663	(GI:15229737) is finished	(48.03 mins )
294/2663	(GI:18398079) is finished	(48.16 mins )
295/2663	(GI:15230650) is finished	(48.09 mins )
296/2663	(GI:15228871) is finished	(48.17 mins )
297/2663	(GI:145331982) is finished	(48.19 mins )
298/2663	(GI:15231970) is finished	(48.44 mins )
299/2663	(GI:15232058) is finished	(48.54 mins )
300/2663	(GI:18395962) is finished	(48.46 mins )
301/2663	(GI:42572443) is finished	(48.55 mins )
302/2663	(GI:15232450) is finished	(48.57 mins )
303/2663	(GI:18399632) is finished	(48.56 mins )
304/2663	(GI:15229764) is finished	(48.78 mins )
305/2663	(GI:186510136) is finished	(48.64 mins )
306/2663	(GI:15232981) is finished	(48.52 mins )
307/2663	(GI:18397041) is finished	(48.42 mins )
308/2663	(GI:15232898) is finished	(48.42 mins )
309/2663	(GI:30683865) is finished	(48.56 mins )
310/2663	(GI:15231381) is finished	(48.48 mins )
311/2663	(GI:15230183) is finished	(48.34 mins )
312/2663	(GI:186509795) is finished	(48.19 mins )
313/2663	(GI:145332028) is finished	(48.16 mins )
314/2663	(GI:79398116) is finished	(48.13 mins )
315/2663	(GI:15229641) is finished	(48.13 mins )
316/2663	(GI:79305850) is finished	(48.17 mins )
317/2663	(GI:15228199) is finished	(48.29 mins )
318/2663	(GI:18398699) is finished	(48.27 mins )
319/2663	(GI:15230527) is finished	(48.26 mins )
320/2663	(GI:238479671) is finished	(48.12 mins )
321/2663	(GI:42572425) is finished	(48.04 mins )
322/2663	(GI:15228667) is finished	(47.95 mins )
323/2663	(GI:15229350) is finished	(47.84 mins )
324/2663	(GI:18397002) is finished	(48.23 mins )
325/2663	(GI:238479799) is finished	(48.16 mins )
326/2663	(GI:42572307) is finished	(48.08 mins )
327/2663	(GI:30681577) is finished	(48.3 mins )
328/2663	(GI:42572267) is finished	(48.19 mins )
329/2663	(GI:15229252) is finished	(48.09 mins )
330/2663	(GI:15231844) is finished	(47.99 mins )
331/2663	(GI:15229614) is finished	(47.95 mins )
332/2663	(GI:30684782) is finished	(48.02 mins )
333/2663	(GI:79313217) is finished	(47.91 mins )
334/2663	(GI:15228566) is finished	(47.96 mins )
335/2663	(GI:186510082) is finished	(47.83 mins )
336/2663	(GI:18402366) is finished	(47.72 mins )
337/2663	(GI:30679440) is finished	(47.71 mins )
338/2663	(GI:15232692) is finished	(47.59 mins )
339/2663	(GI:145338490) is finished	(47.61 mins )
340/2663	(GI:18401116) is finished	(47.7 mins )
341/2663	(GI:15229511) is finished	(47.72 mins )
342/2663	(GI:30679260) is finished	(47.62 mins )
343/2663	(GI:186509793) is finished	(47.49 mins )
344/2663	(GI:145332369) is finished	(47.5 mins )
345/2663	(GI:22330923) is finished	(47.4 mins )
346/2663	(GI:18399850) is finished	(47.34 mins )
347/2663	(GI:186509875) is finished	(47.21 mins )
348/2663	(GI:18396089) is finished	(47.19 mins )
349/2663	(GI:42572403) is finished	(47.18 mins )
350/2663	(GI:79313179) is finished	(47.23 mins )
351/2663	(GI:15228613) is finished	(47.26 mins )
352/2663	(GI:42563999) is finished	(47.23 mins )
353/2663	(GI:186510191) is finished	(47.1 mins )
354/2663	(GI:186510032) is finished	(46.98 mins )
355/2663	(GI:79386568) is finished	(46.94 mins )
356/2663	(GI:79391178) is finished	(46.88 mins )
357/2663	(GI:240255315) is finished	(46.92 mins )
358/2663	(GI:18400624) is finished	(46.87 mins )
359/2663	(GI:18397751) is finished	(46.74 mins )
360/2663	(GI:15231937) is finished	(46.83 mins )
361/2663	(GI:145332625) is finished	(46.78 mins )
362/2663	(GI:15228639) is finished	(46.77 mins )
363/2663	(GI:79386570) is finished	(46.82 mins )
364/2663	(GI:18397111) is finished	(46.69 mins )
365/2663	(GI:15231910) is finished	(46.76 mins )
366/2663	(GI:18396732) is finished	(46.7 mins )
367/2663	(GI:186509736) is finished	(46.6 mins )
Traceback (most recent call last):
  File "blastpro.py", line 177, in <module>
    main(sys.argv)
  File "blastpro.py", line 171, in main
    result_dic = all_page(urls)
  File "blastpro.py", line 116, in all_page
    dic = get_all_info(soup)
  File "blastpro.py", line 102, in get_all_info
    result = find_everything(tag)
  File "blastpro.py", line 70, in find_everything
    num_tag = ichild(1, ichild(0, ichild(1, ichild(1, num_div))))
  File "blastpro.py", line 57, in ichild
    return list(tag.children)[i]
  File "/usr/local/lib/python3.5/dist-packages/bs4/element.py", line 737, in __getattr__
    self.__class__.__name__, attr))
AttributeError: 'NavigableString' object has no attribute 'children'
