1/2668	(GI:22331633) is finished	(99.69 mins )
80/2668	(GI:18404500) is finished	(49.31 mins )
81/2668	(GI:15229171) is finished	(48.99 mins )
82/2668	(GI:145332813) is finished	(49.0 mins )
83/2668	(GI:15230091) is finished	(48.53 mins )
84/2668	(GI:15231428) is finished	(49.26 mins )
85/2668	(GI:15232356) is finished	(48.81 mins )
86/2668	(GI:22331688) is finished	(48.47 mins )
87/2668	(GI:79314019) is finished	(48.72 mins )
88/2668	(GI:18405336) is finished	(48.6 mins )
89/2668	(GI:145362475) is finished	(48.29 mins )
90/2668	(GI:186510741) is finished	(47.86 mins )
91/2668	(GI:15230574) is finished	(47.95 mins )
92/2668	(GI:145332765) is finished	(48.0 mins )
93/2668	(GI:79420704) is finished	(47.87 mins )
94/2668	(GI:15230391) is finished	(48.23 mins )
95/2668	(GI:30687392) is finished	(48.1 mins )
96/2668	(GI:42572653) is finished	(47.81 mins )
97/2668	(GI:15232153) is finished	(47.94 mins )
98/2668	(GI:186510510) is finished	(47.54 mins )
99/2668	(GI:186510461) is finished	(47.16 mins )
100/2668	(GI:79313357) is finished	(47.02 mins )
101/2668	(GI:186510389) is finished	(47.38 mins )
102/2668	(GI:18404561) is finished	(47.01 mins )
103/2668	(GI:79441748) is finished	(47.35 mins )
104/2668	(GI:145362491) is finished	(47.2 mins )
105/2668	(GI:15229546) is finished	(46.96 mins )
106/2668	(GI:15232948) is finished	(46.92 mins )
107/2668	(GI:15230384) is finished	(46.8 mins )
108/2668	(GI:145332763) is finished	(46.72 mins )
109/2668	(GI:15232125) is finished	(46.47 mins )
110/2668	(GI:79313359) is finished	(46.29 mins )
111/2668	(GI:15231697) is finished	(46.33 mins )
112/2668	(GI:186510379) is finished	(46.02 mins )
113/2668	(GI:15231119) is finished	(45.69 mins )
114/2668	(GI:18404757) is finished	(45.49 mins )
115/2668	(GI:240255487) is finished	(45.47 mins )
116/2668	(GI:15228966) is finished	(46.21 mins )
117/2668	(GI:15231984) is finished	(46.05 mins )
118/2668	(GI:145322914) is finished	(46.26 mins )
119/2668	(GI:15231544) is finished	(46.34 mins )
120/2668	(GI:18406019) is finished	(46.43 mins )
121/2668	(GI:186510787) is finished	(46.75 mins )
122/2668	(GI:18406082) is finished	(47.02 mins )
123/2668	(GI:42572559) is finished	(47.35 mins )
124/2668	(GI:186510525) is finished	(47.46 mins )
125/2668	(GI:30693980) is finished	(47.64 mins )
126/2668	(GI:15230544) is finished	(47.33 mins )
127/2668	(GI:15229793) is finished	(47.12 mins )
128/2668	(GI:15231865) is finished	(47.1 mins )
129/2668	(GI:15229236) is finished	(47.03 mins )
130/2668	(GI:186510627) is finished	(47.09 mins )
131/2668	(GI:15232797) is finished	(46.92 mins )
132/2668	(GI:15230720) is finished	(47.03 mins )
133/2668	(GI:238480070) is finished	(46.91 mins )
134/2668	(GI:42565830) is finished	(47.22 mins )
135/2668	(GI:42565803) is finished	(47.14 mins )
136/2668	(GI:15232728) is finished	(47.75 mins )
137/2668	(GI:15232318) is finished	(47.65 mins )
138/2668	(GI:18404806) is finished	(47.43 mins )
139/2668	(GI:145339131) is finished	(47.72 mins )
140/2668	(GI:15232928) is finished	(47.62 mins )
141/2668	(GI:42565652) is finished	(47.55 mins )
142/2668	(GI:22331505) is finished	(47.39 mins )
143/2668	(GI:79424348) is finished	(47.43 mins )
144/2668	(GI:186510357) is finished	(47.42 mins )
145/2668	(GI:238479917) is finished	(47.61 mins )
146/2668	(GI:15231512) is finished	(47.76 mins )
Traceback (most recent call last):
  File "blastpro.py", line 177, in <module>
    main(sys.argv)
  File "blastpro.py", line 171, in main
    result_dic = all_page(urls)
  File "blastpro.py", line 116, in all_page
    dic = get_all_info(soup)
  File "blastpro.py", line 102, in get_all_info
    result = find_everything(tag)
  File "blastpro.py", line 66, in find_everything
    length_tag = ichild(1, ichild(2, ichild(1, leng_div)))
  File "blastpro.py", line 57, in ichild
    return list(tag.children)[i]
IndexError: list index out of range
