1/2661	(GI:15233782) is finished	(13.57 mins )
88/2661	(GI:42567183) is finished	(58.49 mins )
89/2661	(GI:15234473) is finished	(58.27 mins )
90/2661	(GI:186514003) is finished	(57.9 mins )
91/2661	(GI:42566947) is finished	(58.0 mins )
92/2661	(GI:18417079) is finished	(57.87 mins )
93/2661	(GI:15236066) is finished	(58.05 mins )
94/2661	(GI:79326326) is finished	(58.05 mins )
95/2661	(GI:42573001) is finished	(57.82 mins )
96/2661	(GI:15233429) is finished	(57.85 mins )
97/2661	(GI:30684822) is finished	(57.85 mins )
98/2661	(GI:15235366) is finished	(58.6 mins )
99/2661	(GI:15233938) is finished	(58.11 mins )
100/2661	(GI:79496905) is finished	(58.08 mins )
101/2661	(GI:30689804) is finished	(57.91 mins )
102/2661	(GI:15233554) is finished	(57.51 mins )
103/2661	(GI:15233411) is finished	(57.71 mins )
104/2661	(GI:145334139) is finished	(57.75 mins )
105/2661	(GI:18417097) is finished	(57.86 mins )
106/2661	(GI:30689748) is finished	(57.65 mins )
107/2661	(GI:186512679) is finished	(57.17 mins )
108/2661	(GI:15234051) is finished	(57.07 mins )
109/2661	(GI:22328895) is finished	(57.24 mins )
110/2661	(GI:240256087) is finished	(57.55 mins )
111/2661	(GI:145340451) is finished	(57.22 mins )
112/2661	(GI:30684599) is finished	(56.96 mins )
113/2661	(GI:18416596) is finished	(56.61 mins )
114/2661	(GI:186516921) is finished	(56.18 mins )
115/2661	(GI:186513746) is finished	(55.75 mins )
116/2661	(GI:30688430) is finished	(55.61 mins )
117/2661	(GI:15233749) is finished	(55.52 mins )
118/2661	(GI:15233666) is finished	(55.65 mins )
119/2661	(GI:18416540) is finished	(55.34 mins )
120/2661	(GI:186513495) is finished	(54.95 mins )
121/2661	(GI:15233902) is finished	(54.75 mins )
122/2661	(GI:79487032) is finished	(54.59 mins )
123/2661	(GI:42566968) is finished	(54.46 mins )
124/2661	(GI:18415213) is finished	(54.37 mins )
125/2661	(GI:79325221) is finished	(54.31 mins )
126/2661	(GI:186512983) is finished	(53.93 mins )
127/2661	(GI:15234298) is finished	(53.7 mins )
128/2661	(GI:18417514) is finished	(54.04 mins )
129/2661	(GI:186514527) is finished	(53.76 mins )
130/2661	(GI:18417767) is finished	(53.6 mins )
131/2661	(GI:15234693) is finished	(53.66 mins )
132/2661	(GI:30688502) is finished	(53.72 mins )
133/2661	(GI:15234332) is finished	(53.95 mins )
134/2661	(GI:15234126) is finished	(53.86 mins )
135/2661	(GI:79494660) is finished	(53.81 mins )
136/2661	(GI:15237075) is finished	(53.69 mins )
137/2661	(GI:15236030) is finished	(53.8 mins )
138/2661	(GI:15234743) is finished	(53.71 mins )
139/2661	(GI:79486517) is finished	(53.44 mins )
140/2661	(GI:15234656) is finished	(53.64 mins )
141/2661	(GI:186516215) is finished	(53.31 mins )
142/2661	(GI:15235047) is finished	(53.0 mins )
143/2661	(GI:30690140) is finished	(52.74 mins )
144/2661	(GI:79325293) is finished	(52.52 mins )
145/2661	(GI:240256063) is finished	(52.43 mins )
146/2661	(GI:238481029) is finished	(52.31 mins )
147/2661	(GI:42567064) is finished	(52.49 mins )
148/2661	(GI:18418118) is finished	(52.21 mins )
149/2661	(GI:30684455) is finished	(51.92 mins )
150/2661	(GI:145334163) is finished	(51.91 mins )
151/2661	(GI:42573007) is finished	(51.76 mins )
152/2661	(GI:15234068) is finished	(51.48 mins )
153/2661	(GI:79478110) is finished	(51.46 mins )
154/2661	(GI:15236572) is finished	(51.61 mins )
155/2661	(GI:79481163) is finished	(51.43 mins )
156/2661	(GI:186512530) is finished	(51.13 mins )
157/2661	(GI:15234570) is finished	(50.99 mins )
158/2661	(GI:145333373) is finished	(50.88 mins )
159/2661	(GI:30686768) is finished	(50.74 mins )
160/2661	(GI:30685040) is finished	(50.54 mins )
161/2661	(GI:15234607) is finished	(50.77 mins )
162/2661	(GI:18416499) is finished	(50.58 mins )
163/2661	(GI:30686753) is finished	(50.6 mins )
164/2661	(GI:18416588) is finished	(50.4 mins )
165/2661	(GI:15235996) is finished	(50.32 mins )
166/2661	(GI:22329072) is finished	(50.11 mins )
167/2661	(GI:15235348) is finished	(50.0 mins )
168/2661	(GI:18415316) is finished	(50.02 mins )
169/2661	(GI:15233509) is finished	(50.05 mins )
170/2661	(GI:18418262) is finished	(49.85 mins )
171/2661	(GI:15233622) is finished	(49.78 mins )
172/2661	(GI:79325291) is finished	(49.62 mins )
173/2661	(GI:15236658) is finished	(49.38 mins )
174/2661	(GI:22328818) is finished	(49.26 mins )
175/2661	(GI:15237097) is finished	(49.24 mins )
176/2661	(GI:30690680) is finished	(49.36 mins )
177/2661	(GI:15235544) is finished	(49.46 mins )
178/2661	(GI:22329164) is finished	(49.53 mins )
179/2661	(GI:15234055) is finished	(49.47 mins )
180/2661	(GI:15234036) is finished	(49.41 mins )
181/2661	(GI:15236681) is finished	(49.38 mins )
182/2661	(GI:238481039) is finished	(49.21 mins )
183/2661	(GI:79325275) is finished	(49.34 mins )
184/2661	(GI:15236780) is finished	(49.27 mins )
185/2661	(GI:186514825) is finished	(49.05 mins )
186/2661	(GI:42567214) is finished	(49.15 mins )
187/2661	(GI:145333616) is finished	(49.19 mins )
188/2661	(GI:42567050) is finished	(49.38 mins )
189/2661	(GI:42572951) is finished	(49.2 mins )
190/2661	(GI:186512210) is finished	(49.33 mins )
191/2661	(GI:42573003) is finished	(49.37 mins )
192/2661	(GI:238481047) is finished	(49.37 mins )
193/2661	(GI:79325161) is finished	(49.14 mins )
194/2661	(GI:18416709) is finished	(48.93 mins )
195/2661	(GI:30686312) is finished	(49.05 mins )
196/2661	(GI:42573025) is finished	(48.89 mins )
197/2661	(GI:15235986) is finished	(49.11 mins )
198/2661	(GI:18418684) is finished	(49.16 mins )
199/2661	(GI:18418170) is finished	(49.33 mins )
200/2661	(GI:186513806) is finished	(49.17 mins )
201/2661	(GI:15234429) is finished	(49.34 mins )
202/2661	(GI:186512222) is finished	(49.14 mins )
203/2661	(GI:18416327) is finished	(49.02 mins )
204/2661	(GI:79482785) is finished	(49.08 mins )
205/2661	(GI:15234627) is finished	(49.01 mins )
206/2661	(GI:15234561) is finished	(49.0 mins )
207/2661	(GI:18418337) is finished	(49.12 mins )
208/2661	(GI:15234059) is finished	(49.18 mins )
209/2661	(GI:15234572) is finished	(49.14 mins )
210/2661	(GI:186513528) is finished	(49.08 mins )
211/2661	(GI:42573031) is finished	(48.91 mins )
212/2661	(GI:18417112) is finished	(48.8 mins )
213/2661	(GI:15236846) is finished	(48.69 mins )
214/2661	(GI:15235518) is finished	(48.75 mins )
215/2661	(GI:30689398) is finished	(48.57 mins )
216/2661	(GI:15234544) is finished	(48.42 mins )
217/2661	(GI:30686572) is finished	(48.34 mins )
218/2661	(GI:30687676) is finished	(48.18 mins )
219/2661	(GI:15234666) is finished	(48.41 mins )
220/2661	(GI:42566995) is finished	(48.7 mins )
221/2661	(GI:79480666) is finished	(48.67 mins )
222/2661	(GI:30684482) is finished	(48.6 mins )
223/2661	(GI:22329069) is finished	(48.45 mins )
224/2661	(GI:18416607) is finished	(48.3 mins )
225/2661	(GI:42567296) is finished	(48.22 mins )
226/2661	(GI:238480836) is finished	(48.03 mins )
227/2661	(GI:42567204) is finished	(47.94 mins )
228/2661	(GI:15236757) is finished	(47.8 mins )
229/2661	(GI:15236168) is finished	(47.66 mins )
230/2661	(GI:30686844) is finished	(47.51 mins )
231/2661	(GI:15233406) is finished	(47.59 mins )
232/2661	(GI:240256089) is finished	(47.64 mins )
233/2661	(GI:79325566) is finished	(47.6 mins )
234/2661	(GI:30686949) is finished	(47.48 mins )
235/2661	(GI:42572981) is finished	(47.59 mins )
236/2661	(GI:145334157) is finished	(47.5 mins )
237/2661	(GI:18416465) is finished	(47.37 mins )
238/2661	(GI:42567389) is finished	(47.33 mins )
239/2661	(GI:79497100) is finished	(47.38 mins )
240/2661	(GI:42572963) is finished	(47.42 mins )
241/2661	(GI:18415195) is finished	(47.71 mins )
242/2661	(GI:18417149) is finished	(47.54 mins )
243/2661	(GI:18415709) is finished	(47.4 mins )
244/2661	(GI:18417322) is finished	(47.28 mins )
245/2661	(GI:15236114) is finished	(47.33 mins )
246/2661	(GI:186515732) is finished	(47.16 mins )
247/2661	(GI:15234071) is finished	(47.02 mins )
248/2661	(GI:15236863) is finished	(47.13 mins )
249/2661	(GI:30687433) is finished	(47.03 mins )
250/2661	(GI:15234810) is finished	(46.93 mins )
251/2661	(GI:186515763) is finished	(46.83 mins )
252/2661	(GI:186513637) is finished	(46.66 mins )
253/2661	(GI:240256099) is finished	(46.57 mins )
254/2661	(GI:18415878) is finished	(46.45 mins )
255/2661	(GI:18417050) is finished	(46.4 mins )
256/2661	(GI:186512052) is finished	(46.23 mins )
257/2661	(GI:145323158) is finished	(46.18 mins )
258/2661	(GI:15234070) is finished	(46.04 mins )
259/2661	(GI:15234168) is finished	(45.92 mins )
260/2661	(GI:15235611) is finished	(45.84 mins )
261/2661	(GI:15233623) is finished	(45.78 mins )
262/2661	(GI:30686750) is finished	(45.69 mins )
263/2661	(GI:145334217) is finished	(45.57 mins )
264/2661	(GI:79495937) is finished	(45.65 mins )
265/2661	(GI:15236097) is finished	(45.54 mins )
266/2661	(GI:18417644) is finished	(45.42 mins )
267/2661	(GI:15237095) is finished	(45.35 mins )
268/2661	(GI:15234018) is finished	(45.32 mins )
269/2661	(GI:79325283) is finished	(45.42 mins )
270/2661	(GI:15235489) is finished	(45.43 mins )
271/2661	(GI:15234709) is finished	(45.45 mins )
272/2661	(GI:186516020) is finished	(45.45 mins )
273/2661	(GI:18416663) is finished	(45.52 mins )
274/2661	(GI:186514561) is finished	(45.57 mins )
275/2661	(GI:18416749) is finished	(45.54 mins )
276/2661	(GI:15234306) is finished	(45.52 mins )
277/2661	(GI:15236094) is finished	(45.52 mins )
278/2661	(GI:42567043) is finished	(45.46 mins )
279/2661	(GI:30686602) is finished	(45.37 mins )
280/2661	(GI:15233895) is finished	(45.32 mins )
281/2661	(GI:15234681) is finished	(45.37 mins )
282/2661	(GI:15236834) is finished	(45.82 mins )
283/2661	(GI:79497103) is finished	(45.83 mins )
284/2661	(GI:42573079) is finished	(45.75 mins )
285/2661	(GI:15233469) is finished	(45.67 mins )
286/2661	(GI:238480901) is finished	(45.64 mins )
287/2661	(GI:15234795) is finished	(45.76 mins )
288/2661	(GI:15235810) is finished	(46.09 mins )
289/2661	(GI:15236865) is finished	(46.01 mins )
290/2661	(GI:186512059) is finished	(45.95 mins )
291/2661	(GI:15233538) is finished	(45.84 mins )
292/2661	(GI:18415763) is finished	(45.71 mins )
293/2661	(GI:145333941) is finished	(45.66 mins )
294/2661	(GI:79479049) is finished	(45.61 mins )
295/2661	(GI:15234792) is finished	(45.59 mins )
296/2661	(GI:18415132) is finished	(45.54 mins )
297/2661	(GI:30690058) is finished	(45.66 mins )
298/2661	(GI:30684381) is finished	(45.61 mins )
299/2661	(GI:186516389) is finished	(45.49 mins )
300/2661	(GI:186512202) is finished	(45.53 mins )
301/2661	(GI:79326306) is finished	(45.53 mins )
302/2661	(GI:18416991) is finished	(45.47 mins )
303/2661	(GI:238480867) is finished	(45.47 mins )
304/2661	(GI:186514701) is finished	(45.33 mins )
305/2661	(GI:42567054) is finished	(45.5 mins )
306/2661	(GI:15236722) is finished	(45.39 mins )
307/2661	(GI:186516984) is finished	(45.49 mins )
308/2661	(GI:15233682) is finished	(45.42 mins )
309/2661	(GI:22328797) is finished	(45.42 mins )
310/2661	(GI:15233663) is finished	(45.34 mins )
311/2661	(GI:22328999) is finished	(45.28 mins )
312/2661	(GI:30689591) is finished	(45.26 mins )
313/2661	(GI:186512083) is finished	(45.13 mins )
314/2661	(GI:15233851) is finished	(45.16 mins )
315/2661	(GI:18415421) is finished	(45.1 mins )
316/2661	(GI:79325233) is finished	(45.0 mins )
317/2661	(GI:18417369) is finished	(44.95 mins )
318/2661	(GI:186512071) is finished	(44.94 mins )
319/2661	(GI:15236738) is finished	(44.93 mins )
320/2661	(GI:15236806) is finished	(45.14 mins )
321/2661	(GI:30690525) is finished	(45.12 mins )
322/2661	(GI:42573139) is finished	(45.14 mins )
323/2661	(GI:145340429) is finished	(45.07 mins )
324/2661	(GI:15235006) is finished	(44.95 mins )
325/2661	(GI:18416995) is finished	(44.9 mins )
326/2661	(GI:15236059) is finished	(44.78 mins )
327/2661	(GI:30685891) is finished	(44.92 mins )
328/2661	(GI:15236767) is finished	(44.9 mins )
329/2661	(GI:15234138) is finished	(44.88 mins )
330/2661	(GI:30684325) is finished	(44.94 mins )
331/2661	(GI:18416559) is finished	(44.96 mins )
332/2661	(GI:79325263) is finished	(44.86 mins )
333/2661	(GI:15235455) is finished	(44.86 mins )
334/2661	(GI:15235787) is finished	(45.05 mins )
335/2661	(GI:18416444) is finished	(44.93 mins )
336/2661	(GI:42572977) is finished	(44.84 mins )
337/2661	(GI:79495718) is finished	(44.83 mins )
338/2661	(GI:15234365) is finished	(44.78 mins )
339/2661	(GI:240256051) is finished	(44.7 mins )
340/2661	(GI:18418258) is finished	(44.6 mins )
341/2661	(GI:30686470) is finished	(44.48 mins )
342/2661	(GI:42567241) is finished	(44.62 mins )
343/2661	(GI:30689988) is finished	(44.66 mins )
344/2661	(GI:42572967) is finished	(44.72 mins )
345/2661	(GI:18417524) is finished	(44.64 mins )
346/2661	(GI:18418295) is finished	(44.52 mins )
347/2661	(GI:15236880) is finished	(44.47 mins )
348/2661	(GI:30685095) is finished	(44.44 mins )
349/2661	(GI:79325269) is finished	(44.47 mins )
350/2661	(GI:79481800) is finished	(44.45 mins )
351/2661	(GI:18415415) is finished	(44.37 mins )
352/2661	(GI:145334229) is finished	(44.3 mins )
353/2661	(GI:22328924) is finished	(44.19 mins )
354/2661	(GI:18418079) is finished	(44.07 mins )
355/2661	(GI:30689316) is finished	(44.11 mins )
356/2661	(GI:42572985) is finished	(44.14 mins )
357/2661	(GI:42573183) is finished	(44.03 mins )
358/2661	(GI:30688693) is finished	(44.05 mins )
359/2661	(GI:22329010) is finished	(44.09 mins )
360/2661	(GI:18415527) is finished	(44.15 mins )
361/2661	(GI:42567033) is finished	(44.15 mins )
362/2661	(GI:15235819) is finished	(44.1 mins )
363/2661	(GI:22328891) is finished	(44.15 mins )
364/2661	(GI:15235778) is finished	(44.07 mins )
365/2661	(GI:30684857) is finished	(44.04 mins )
366/2661	(GI:15235255) is finished	(44.01 mins )
367/2661	(GI:42573029) is finished	(43.93 mins )
368/2661	(GI:18415262) is finished	(43.98 mins )
369/2661	(GI:18417190) is finished	(44.01 mins )
370/2661	(GI:18419647) is finished	(43.91 mins )
371/2661	(GI:186513412) is finished	(43.88 mins )
372/2661	(GI:238480869) is finished	(43.82 mins )
373/2661	(GI:15236638) is finished	(43.72 mins )
374/2661	(GI:30687361) is finished	(43.76 mins )
375/2661	(GI:18416311) is finished	(43.78 mins )
376/2661	(GI:240256081) is finished	(43.94 mins )
377/2661	(GI:30686142) is finished	(44.0 mins )
378/2661	(GI:15236881) is finished	(43.92 mins )
379/2661	(GI:240256213) is finished	(43.93 mins )
380/2661	(GI:15234789) is finished	(43.99 mins )
381/2661	(GI:79325231) is finished	(44.02 mins )
382/2661	(GI:18415211) is finished	(44.09 mins )
383/2661	(GI:15236586) is finished	(44.18 mins )
384/2661	(GI:22329121) is finished	(44.24 mins )
385/2661	(GI:18417900) is finished	(44.13 mins )
386/2661	(GI:18417960) is finished	(44.04 mins )
387/2661	(GI:30689117) is finished	(44.13 mins )
388/2661	(GI:30685952) is finished	(44.02 mins )
389/2661	(GI:186515190) is finished	(43.91 mins )
390/2661	(GI:186516091) is finished	(43.9 mins )
391/2661	(GI:30690215) is finished	(43.89 mins )
392/2661	(GI:30684612) is finished	(43.83 mins )
393/2661	(GI:42573067) is finished	(43.75 mins )
394/2661	(GI:15235360) is finished	(43.65 mins )
395/2661	(GI:145333758) is finished	(43.64 mins )
396/2661	(GI:18416035) is finished	(43.56 mins )
397/2661	(GI:18416576) is finished	(43.48 mins )
398/2661	(GI:238480857) is finished	(43.45 mins )
399/2661	(GI:18416020) is finished	(43.39 mins )
400/2661	(GI:79325243) is finished	(43.31 mins )
401/2661	(GI:15234164) is finished	(43.32 mins )
402/2661	(GI:42572975) is finished	(43.28 mins )
403/2661	(GI:15233527) is finished	(43.24 mins )
404/2661	(GI:42573017) is finished	(43.25 mins )
405/2661	(GI:18417678) is finished	(43.17 mins )
406/2661	(GI:18415873) is finished	(43.09 mins )
407/2661	(GI:15236684) is finished	(43.01 mins )
408/2661	(GI:79326344) is finished	(42.98 mins )
409/2661	(GI:186516178) is finished	(42.89 mins )
410/2661	(GI:42573051) is finished	(42.79 mins )
411/2661	(GI:15235419) is finished	(42.73 mins )
412/2661	(GI:18417809) is finished	(42.74 mins )
413/2661	(GI:15234839) is finished	(42.67 mins )
414/2661	(GI:186513783) is finished	(42.56 mins )
415/2661	(GI:15234713) is finished	(42.57 mins )
416/2661	(GI:30687052) is finished	(42.6 mins )
417/2661	(GI:15233634) is finished	(42.55 mins )
418/2661	(GI:30686529) is finished	(42.45 mins )
419/2661	(GI:22328885) is finished	(42.39 mins )
420/2661	(GI:30688449) is finished	(42.34 mins )
421/2661	(GI:30686516) is finished	(42.37 mins )
422/2661	(GI:15234190) is finished	(42.38 mins )
423/2661	(GI:145333683) is finished	(42.33 mins )
424/2661	(GI:15235650) is finished	(42.24 mins )
425/2661	(GI:22328852) is finished	(42.31 mins )
426/2661	(GI:79325277) is finished	(42.29 mins )
427/2661	(GI:15233740) is finished	(42.26 mins )
428/2661	(GI:30685465) is finished	(42.3 mins )
429/2661	(GI:15234048) is finished	(42.2 mins )
430/2661	(GI:15235923) is finished	(42.14 mins )
431/2661	(GI:79479039) is finished	(42.1 mins )
432/2661	(GI:18417554) is finished	(42.03 mins )
433/2661	(GI:186514350) is finished	(41.95 mins )
434/2661	(GI:79325800) is finished	(41.88 mins )
435/2661	(GI:30685958) is finished	(41.85 mins )
436/2661	(GI:18416076) is finished	(41.92 mins )
437/2661	(GI:15233474) is finished	(41.88 mins )
438/2661	(GI:15233942) is finished	(41.83 mins )
439/2661	(GI:18415319) is finished	(41.78 mins )
440/2661	(GI:186515206) is finished	(41.68 mins )
441/2661	(GI:18415533) is finished	(41.74 mins )
442/2661	(GI:30686028) is finished	(41.8 mins )
443/2661	(GI:79581527) is finished	(41.8 mins )
444/2661	(GI:15234434) is finished	(41.91 mins )
445/2661	(GI:18417986) is finished	(41.88 mins )
446/2661	(GI:30686220) is finished	(41.94 mins )
447/2661	(GI:15233481) is finished	(41.94 mins )
448/2661	(GI:79326117) is finished	(41.94 mins )
449/2661	(GI:240256101) is finished	(41.95 mins )
450/2661	(GI:18416000) is finished	(41.94 mins )
451/2661	(GI:22329125) is finished	(41.95 mins )
452/2661	(GI:15236570) is finished	(41.93 mins )
453/2661	(GI:240256023) is finished	(42.02 mins )
454/2661	(GI:15233977) is finished	(42.03 mins )
455/2661	(GI:30688985) is finished	(41.97 mins )
456/2661	(GI:15236755) is finished	(41.91 mins )
457/2661	(GI:15236966) is finished	(41.99 mins )
458/2661	(GI:79487043) is finished	(42.0 mins )
459/2661	(GI:15236659) is finished	(41.92 mins )
460/2661	(GI:30689295) is finished	(41.88 mins )
461/2661	(GI:30688829) is finished	(41.84 mins )
462/2661	(GI:145334213) is finished	(41.78 mins )
463/2661	(GI:18417607) is finished	(41.7 mins )
464/2661	(GI:22328878) is finished	(41.77 mins )
465/2661	(GI:30686306) is finished	(41.7 mins )
466/2661	(GI:145361376) is finished	(41.68 mins )
467/2661	(GI:18416824) is finished	(41.73 mins )
468/2661	(GI:42573095) is finished	(41.74 mins )
469/2661	(GI:145334151) is finished	(41.66 mins )
470/2661	(GI:42573065) is finished	(41.59 mins )
471/2661	(GI:15234336) is finished	(41.59 mins )
472/2661	(GI:30684914) is finished	(41.64 mins )
473/2661	(GI:22329089) is finished	(41.58 mins )
474/2661	(GI:18418388) is finished	(41.53 mins )
475/2661	(GI:79325608) is finished	(41.54 mins )
476/2661	(GI:30688001) is finished	(41.5 mins )
477/2661	(GI:42573169) is finished	(41.45 mins )
478/2661	(GI:15235763) is finished	(41.41 mins )
479/2661	(GI:18417716) is finished	(41.34 mins )
480/2661	(GI:15234649) is finished	(41.25 mins )
481/2661	(GI:18416818) is finished	(41.24 mins )
482/2661	(GI:240256117) is finished	(41.21 mins )
483/2661	(GI:18417769) is finished	(41.3 mins )
484/2661	(GI:15233565) is finished	(41.22 mins )
485/2661	(GI:145334237) is finished	(41.22 mins )
486/2661	(GI:22328857) is finished	(41.19 mins )
487/2661	(GI:15233452) is finished	(41.2 mins )
488/2661	(GI:22328791) is finished	(41.13 mins )
489/2661	(GI:15236591) is finished	(41.09 mins )
490/2661	(GI:15236072) is finished	(41.05 mins )
491/2661	(GI:15235780) is finished	(41.16 mins )
492/2661	(GI:18416659) is finished	(41.17 mins )
493/2661	(GI:15234428) is finished	(41.09 mins )
494/2661	(GI:42572955) is finished	(41.12 mins )
495/2661	(GI:18417039) is finished	(41.04 mins )
496/2661	(GI:15236236) is finished	(41.04 mins )
497/2661	(GI:15233418) is finished	(41.05 mins )
498/2661	(GI:145334191) is finished	(41.02 mins )
499/2661	(GI:186512041) is finished	(41.04 mins )
500/2661	(GI:15234299) is finished	(41.01 mins )
501/2661	(GI:15234345) is finished	(40.95 mins )
502/2661	(GI:79325189) is finished	(40.92 mins )
503/2661	(GI:15235723) is finished	(40.94 mins )
504/2661	(GI:186512705) is finished	(40.87 mins )
505/2661	(GI:18418749) is finished	(40.82 mins )
506/2661	(GI:145351239) is finished	(40.76 mins )
507/2661	(GI:79326212) is finished	(40.77 mins )
508/2661	(GI:15233822) is finished	(40.69 mins )
509/2661	(GI:18416977) is finished	(40.61 mins )
510/2661	(GI:42573011) is finished	(40.54 mins )
511/2661	(GI:79326108) is finished	(40.57 mins )
512/2661	(GI:18417099) is finished	(40.52 mins )
513/2661	(GI:18415734) is finished	(40.59 mins )
514/2661	(GI:22329066) is finished	(40.54 mins )
515/2661	(GI:186515347) is finished	(40.46 mins )
516/2661	(GI:42567264) is finished	(40.41 mins )
517/2661	(GI:79325261) is finished	(40.34 mins )
518/2661	(GI:15233922) is finished	(40.34 mins )
519/2661	(GI:30689026) is finished	(40.32 mins )
520/2661	(GI:15233878) is finished	(40.31 mins )
521/2661	(GI:15234242) is finished	(40.34 mins )
522/2661	(GI:145334131) is finished	(40.41 mins )
523/2661	(GI:15236655) is finished	(40.41 mins )
524/2661	(GI:240256009) is finished	(40.56 mins )
525/2661	(GI:15235150) is finished	(40.55 mins )
526/2661	(GI:18417778) is finished	(40.51 mins )
527/2661	(GI:30688340) is finished	(40.45 mins )
528/2661	(GI:15233665) is finished	(40.39 mins )
529/2661	(GI:15233608) is finished	(40.31 mins )
530/2661	(GI:30687764) is finished	(40.27 mins )
531/2661	(GI:15236947) is finished	(40.21 mins )
532/2661	(GI:15233747) is finished	(40.15 mins )
533/2661	(GI:42567026) is finished	(40.17 mins )
534/2661	(GI:22328789) is finished	(40.12 mins )
535/2661	(GI:22329127) is finished	(40.08 mins )
536/2661	(GI:15236044) is finished	(40.12 mins )
537/2661	(GI:30686261) is finished	(40.1 mins )
