1/2657	(GI:15235666) is finished	(11.5 mins )
139/2657	(GI:15236274) is finished	(52.18 mins )
140/2657	(GI:30681325) is finished	(51.99 mins )
141/2657	(GI:22328245) is finished	(51.8 mins )
142/2657	(GI:30678641) is finished	(51.68 mins )
143/2657	(GI:30678839) is finished	(51.74 mins )
144/2657	(GI:18414049) is finished	(51.8 mins )
145/2657	(GI:22328609) is finished	(52.11 mins )
146/2657	(GI:15233070) is finished	(52.01 mins )
147/2657	(GI:79325073) is finished	(51.87 mins )
148/2657	(GI:30681191) is finished	(52.18 mins )
149/2657	(GI:15231604) is finished	(52.47 mins )
150/2657	(GI:18411808) is finished	(52.54 mins )
151/2657	(GI:15233720) is finished	(52.6 mins )
152/2657	(GI:15236347) is finished	(52.42 mins )
153/2657	(GI:186511404) is finished	(52.7 mins )
154/2657	(GI:18411708) is finished	(52.55 mins )
155/2657	(GI:15235542) is finished	(52.3 mins )
156/2657	(GI:22328444) is finished	(52.09 mins )
157/2657	(GI:42566072) is finished	(52.29 mins )
158/2657	(GI:30694843) is finished	(52.26 mins )
159/2657	(GI:42570140) is finished	(52.12 mins )
160/2657	(GI:15231608) is finished	(51.94 mins )
161/2657	(GI:15232366) is finished	(52.01 mins )
162/2657	(GI:18412763) is finished	(52.22 mins )
163/2657	(GI:22328428) is finished	(52.01 mins )
164/2657	(GI:79324989) is finished	(51.82 mins )
165/2657	(GI:240255793) is finished	(52.11 mins )
166/2657	(GI:30678601) is finished	(52.48 mins )
167/2657	(GI:238480344) is finished	(52.5 mins )
168/2657	(GI:15228828) is finished	(52.51 mins )
169/2657	(GI:18414212) is finished	(52.65 mins )
170/2657	(GI:15231719) is finished	(52.84 mins )
171/2657	(GI:22331918) is finished	(53.01 mins )
172/2657	(GI:79325015) is finished	(52.84 mins )
173/2657	(GI:18413349) is finished	(53.25 mins )
174/2657	(GI:42566222) is finished	(53.18 mins )
175/2657	(GI:30695097) is finished	(53.09 mins )
176/2657	(GI:42566276) is finished	(53.35 mins )
177/2657	(GI:15234770) is finished	(53.19 mins )
178/2657	(GI:240255711) is finished	(53.16 mins )
179/2657	(GI:15228788) is finished	(53.72 mins )
180/2657	(GI:42572841) is finished	(53.81 mins )
181/2657	(GI:15234510) is finished	(53.56 mins )
182/2657	(GI:15230344) is finished	(53.64 mins )
183/2657	(GI:15228700) is finished	(53.62 mins )
184/2657	(GI:15229355) is finished	(53.62 mins )
185/2657	(GI:79453198) is finished	(53.42 mins )
186/2657	(GI:30682312) is finished	(53.63 mins )
187/2657	(GI:15230910) is finished	(53.6 mins )
188/2657	(GI:30680524) is finished	(53.35 mins )
189/2657	(GI:186511170) is finished	(53.42 mins )
190/2657	(GI:79324971) is finished	(53.28 mins )
191/2657	(GI:186511688) is finished	(53.03 mins )
192/2657	(GI:79315861) is finished	(52.95 mins )
193/2657	(GI:240255876) is finished	(52.91 mins )
194/2657	(GI:79324993) is finished	(52.88 mins )
195/2657	(GI:18413362) is finished	(52.73 mins )
196/2657	(GI:15233955) is finished	(52.64 mins )
197/2657	(GI:15232262) is finished	(52.79 mins )
198/2657	(GI:42572745) is finished	(52.66 mins )
199/2657	(GI:15236499) is finished	(52.52 mins )
200/2657	(GI:145332957) is finished	(52.39 mins )
201/2657	(GI:18411740) is finished	(52.35 mins )
202/2657	(GI:15231667) is finished	(52.17 mins )
203/2657	(GI:18411380) is finished	(51.96 mins )
204/2657	(GI:186511583) is finished	(51.72 mins )
205/2657	(GI:186511296) is finished	(51.5 mins )
206/2657	(GI:30678866) is finished	(51.4 mins )
207/2657	(GI:18414447) is finished	(51.26 mins )
208/2657	(GI:42572881) is finished	(51.18 mins )
209/2657	(GI:30682441) is finished	(51.08 mins )
210/2657	(GI:15236238) is finished	(50.92 mins )
211/2657	(GI:15235652) is finished	(50.9 mins )
212/2657	(GI:79325125) is finished	(50.84 mins )
213/2657	(GI:15232247) is finished	(50.67 mins )
214/2657	(GI:186511504) is finished	(50.45 mins )
215/2657	(GI:18413388) is finished	(50.45 mins )
216/2657	(GI:15236450) is finished	(50.51 mins )
217/2657	(GI:15233516) is finished	(50.54 mins )
218/2657	(GI:15228643) is finished	(50.6 mins )
219/2657	(GI:15234331) is finished	(50.64 mins )
220/2657	(GI:42566260) is finished	(50.59 mins )
221/2657	(GI:15231104) is finished	(50.47 mins )
222/2657	(GI:15234225) is finished	(50.48 mins )
223/2657	(GI:15233385) is finished	(50.34 mins )
224/2657	(GI:18410836) is finished	(50.23 mins )
225/2657	(GI:15233525) is finished	(50.41 mins )
226/2657	(GI:22328607) is finished	(50.75 mins )
227/2657	(GI:42572757) is finished	(50.61 mins )
228/2657	(GI:15234113) is finished	(50.6 mins )
229/2657	(GI:18411279) is finished	(50.68 mins )
230/2657	(GI:15236299) is finished	(50.48 mins )
231/2657	(GI:15234738) is finished	(50.38 mins )
232/2657	(GI:15235571) is finished	(50.23 mins )
233/2657	(GI:15235504) is finished	(50.24 mins )
234/2657	(GI:30679171) is finished	(50.2 mins )
235/2657	(GI:30682622) is finished	(50.2 mins )
236/2657	(GI:145332929) is finished	(50.06 mins )
237/2657	(GI:30681329) is finished	(50.08 mins )
238/2657	(GI:186511513) is finished	(50.01 mins )
239/2657	(GI:42566796) is finished	(49.86 mins )
240/2657	(GI:15233090) is finished	(49.7 mins )
241/2657	(GI:240255741) is finished	(49.79 mins )
242/2657	(GI:18413101) is finished	(49.62 mins )
243/2657	(GI:145340252) is finished	(49.73 mins )
244/2657	(GI:15228711) is finished	(49.81 mins )
245/2657	(GI:15236327) is finished	(49.81 mins )
246/2657	(GI:15236408) is finished	(49.63 mins )
247/2657	(GI:186511214) is finished	(49.44 mins )
248/2657	(GI:18414455) is finished	(49.3 mins )
249/2657	(GI:15235523) is finished	(49.18 mins )
250/2657	(GI:15236257) is finished	(49.04 mins )
251/2657	(GI:15228830) is finished	(49.03 mins )
252/2657	(GI:22328634) is finished	(48.9 mins )
253/2657	(GI:145332959) is finished	(48.83 mins )
254/2657	(GI:15235459) is finished	(48.78 mins )
255/2657	(GI:186511200) is finished	(48.6 mins )
256/2657	(GI:15233045) is finished	(48.62 mins )
257/2657	(GI:145332963) is finished	(48.46 mins )
258/2657	(GI:15229333) is finished	(48.51 mins )
259/2657	(GI:15234319) is finished	(48.34 mins )
260/2657	(GI:15230936) is finished	(48.31 mins )
261/2657	(GI:15233334) is finished	(48.15 mins )
262/2657	(GI:18412235) is finished	(48.1 mins )
263/2657	(GI:186511511) is finished	(47.97 mins )
264/2657	(GI:186511271) is finished	(47.81 mins )
265/2657	(GI:22328630) is finished	(47.74 mins )
266/2657	(GI:15234692) is finished	(47.82 mins )
267/2657	(GI:42566152) is finished	(47.94 mins )
268/2657	(GI:15235077) is finished	(48.04 mins )
269/2657	(GI:186511347) is finished	(47.88 mins )
270/2657	(GI:145339824) is finished	(47.77 mins )
271/2657	(GI:238480144) is finished	(47.64 mins )
272/2657	(GI:15234402) is finished	(47.6 mins )
273/2657	(GI:30679366) is finished	(47.65 mins )
274/2657	(GI:15233088) is finished	(47.91 mins )
275/2657	(GI:15231019) is finished	(47.96 mins )
276/2657	(GI:15231657) is finished	(48.1 mins )
277/2657	(GI:15235169) is finished	(48.23 mins )
278/2657	(GI:15236875) is finished	(48.21 mins )
279/2657	(GI:15231000) is finished	(48.27 mins )
280/2657	(GI:22331922) is finished	(48.31 mins )
281/2657	(GI:145340114) is finished	(48.2 mins )
282/2657	(GI:18412785) is finished	(48.28 mins )
283/2657	(GI:42566190) is finished	(48.22 mins )
284/2657	(GI:15236888) is finished	(48.14 mins )
285/2657	(GI:18413823) is finished	(48.12 mins )
286/2657	(GI:15236291) is finished	(48.18 mins )
287/2657	(GI:15236289) is finished	(48.19 mins )
288/2657	(GI:15233580) is finished	(48.15 mins )
289/2657	(GI:30682847) is finished	(48.14 mins )
290/2657	(GI:15235510) is finished	(48.02 mins )
291/2657	(GI:186511659) is finished	(47.88 mins )
292/2657	(GI:18411265) is finished	(47.9 mins )
293/2657	(GI:15232387) is finished	(47.85 mins )
294/2657	(GI:186511701) is finished	(47.73 mins )
295/2657	(GI:18412406) is finished	(47.62 mins )
296/2657	(GI:238480176) is finished	(47.86 mins )
297/2657	(GI:15228713) is finished	(47.75 mins )
298/2657	(GI:18412634) is finished	(47.77 mins )
299/2657	(GI:22328217) is finished	(47.63 mins )
300/2657	(GI:22328644) is finished	(47.61 mins )
301/2657	(GI:240255701) is finished	(47.7 mins )
302/2657	(GI:15235584) is finished	(47.58 mins )
303/2657	(GI:18411479) is finished	(47.51 mins )
304/2657	(GI:30681816) is finished	(47.45 mins )
305/2657	(GI:186511607) is finished	(47.31 mins )
306/2657	(GI:15230913) is finished	(47.21 mins )
307/2657	(GI:15236516) is finished	(47.09 mins )
308/2657	(GI:30695056) is finished	(47.07 mins )
309/2657	(GI:15232289) is finished	(47.07 mins )
310/2657	(GI:240255878) is finished	(46.93 mins )
311/2657	(GI:18411871) is finished	(46.88 mins )
312/2657	(GI:186511229) is finished	(46.75 mins )
313/2657	(GI:22328589) is finished	(46.75 mins )
314/2657	(GI:15231674) is finished	(46.62 mins )
315/2657	(GI:15230933) is finished	(46.54 mins )
316/2657	(GI:30679138) is finished	(46.57 mins )
317/2657	(GI:18412971) is finished	(46.47 mins )
318/2657	(GI:42572769) is finished	(46.4 mins )
319/2657	(GI:79459612) is finished	(46.31 mins )
320/2657	(GI:42572905) is finished	(46.28 mins )
321/2657	(GI:42566063) is finished	(46.31 mins )
322/2657	(GI:186511384) is finished	(46.18 mins )
323/2657	(GI:42566306) is finished	(46.26 mins )
324/2657	(GI:42566225) is finished	(46.26 mins )
325/2657	(GI:18411951) is finished	(46.2 mins )
326/2657	(GI:18411520) is finished	(46.22 mins )
327/2657	(GI:18413658) is finished	(46.09 mins )
328/2657	(GI:15230368) is finished	(46.08 mins )
329/2657	(GI:79315769) is finished	(45.99 mins )
330/2657	(GI:240255705) is finished	(46.0 mins )
331/2657	(GI:15232357) is finished	(45.91 mins )
332/2657	(GI:15233765) is finished	(45.79 mins )
333/2657	(GI:18411135) is finished	(45.76 mins )
334/2657	(GI:22328255) is finished	(45.72 mins )
335/2657	(GI:79466904) is finished	(45.65 mins )
336/2657	(GI:15237086) is finished	(45.62 mins )
337/2657	(GI:15233044) is finished	(45.52 mins )
338/2657	(GI:145332901) is finished	(45.6 mins )
339/2657	(GI:42566372) is finished	(45.68 mins )
340/2657	(GI:15231646) is finished	(45.73 mins )
341/2657	(GI:18412775) is finished	(45.71 mins )
342/2657	(GI:15233354) is finished	(45.7 mins )
343/2657	(GI:186511799) is finished	(45.58 mins )
344/2657	(GI:15233476) is finished	(45.63 mins )
345/2657	(GI:18413147) is finished	(45.64 mins )
346/2657	(GI:30682806) is finished	(45.67 mins )
347/2657	(GI:18412143) is finished	(45.74 mins )
348/2657	(GI:15236258) is finished	(45.71 mins )
349/2657	(GI:15233482) is finished	(45.94 mins )
350/2657	(GI:18410877) is finished	(45.94 mins )
351/2657	(GI:42572873) is finished	(45.88 mins )
352/2657	(GI:186511165) is finished	(45.75 mins )
353/2657	(GI:42566399) is finished	(45.84 mins )
354/2657	(GI:15230877) is finished	(45.96 mins )
355/2657	(GI:15234677) is finished	(45.94 mins )
356/2657	(GI:18411242) is finished	(45.88 mins )
357/2657	(GI:238480352) is finished	(45.85 mins )
358/2657	(GI:30680662) is finished	(45.86 mins )
359/2657	(GI:186511477) is finished	(45.77 mins )
360/2657	(GI:30678651) is finished	(45.8 mins )
361/2657	(GI:15229445) is finished	(45.78 mins )
362/2657	(GI:145332903) is finished	(45.77 mins )
363/2657	(GI:15235188) is finished	(45.68 mins )
364/2657	(GI:238480285) is finished	(45.61 mins )
365/2657	(GI:79315761) is finished	(45.67 mins )
366/2657	(GI:15235270) is finished	(45.62 mins )
367/2657	(GI:15234388) is finished	(45.76 mins )
368/2657	(GI:186511187) is finished	(45.64 mins )
369/2657	(GI:15232215) is finished	(45.57 mins )
370/2657	(GI:15229352) is finished	(45.46 mins )
371/2657	(GI:18412779) is finished	(45.38 mins )
372/2657	(GI:240255870) is finished	(45.39 mins )
373/2657	(GI:15236910) is finished	(45.3 mins )
374/2657	(GI:186511748) is finished	(45.43 mins )
375/2657	(GI:79324985) is finished	(45.43 mins )
376/2657	(GI:30682803) is finished	(45.32 mins )
377/2657	(GI:15234480) is finished	(45.23 mins )
378/2657	(GI:30695160) is finished	(45.17 mins )
379/2657	(GI:15231603) is finished	(45.23 mins )
380/2657	(GI:15228815) is finished	(45.17 mins )
381/2657	(GI:15236676) is finished	(45.15 mins )
382/2657	(GI:186511254) is finished	(45.06 mins )
383/2657	(GI:79324963) is finished	(45.16 mins )
384/2657	(GI:22328173) is finished	(45.08 mins )
385/2657	(GI:79315832) is finished	(45.06 mins )
386/2657	(GI:18411926) is finished	(44.98 mins )
387/2657	(GI:145332907) is finished	(45.01 mins )
388/2657	(GI:15234437) is finished	(44.95 mins )
389/2657	(GI:238480100) is finished	(44.92 mins )
390/2657	(GI:79325095) is finished	(44.81 mins )
391/2657	(GI:186511378) is finished	(44.76 mins )
392/2657	(GI:22331894) is finished	(44.81 mins )
393/2657	(GI:30680251) is finished	(44.77 mins )
394/2657	(GI:42566124) is finished	(44.71 mins )
395/2657	(GI:42572753) is finished	(44.78 mins )
396/2657	(GI:42572807) is finished	(44.76 mins )
397/2657	(GI:18414258) is finished	(44.67 mins )
398/2657	(GI:240255880) is finished	(44.57 mins )
399/2657	(GI:18412205) is finished	(44.6 mins )
400/2657	(GI:15230372) is finished	(44.5 mins )
401/2657	(GI:186511567) is finished	(44.39 mins )
402/2657	(GI:15235555) is finished	(44.31 mins )
403/2657	(GI:15236912) is finished	(44.29 mins )
404/2657	(GI:42572733) is finished	(44.28 mins )
405/2657	(GI:15234806) is finished	(44.18 mins )
406/2657	(GI:42566075) is finished	(44.24 mins )
407/2657	(GI:15235257) is finished	(44.27 mins )
408/2657	(GI:240255813) is finished	(44.25 mins )
409/2657	(GI:15236214) is finished	(44.14 mins )
410/2657	(GI:15236357) is finished	(44.15 mins )
411/2657	(GI:186511267) is finished	(44.07 mins )
412/2657	(GI:30695340) is finished	(44.01 mins )
413/2657	(GI:240255713) is finished	(44.08 mins )
414/2657	(GI:15235215) is finished	(44.14 mins )
415/2657	(GI:15233074) is finished	(44.1 mins )
416/2657	(GI:238480261) is finished	(44.02 mins )
417/2657	(GI:15236308) is finished	(44.01 mins )
418/2657	(GI:15233154) is finished	(44.03 mins )
419/2657	(GI:30680992) is finished	(44.03 mins )
420/2657	(GI:15237118) is finished	(44.06 mins )
421/2657	(GI:15232969) is finished	(44.06 mins )
422/2657	(GI:22328358) is finished	(44.05 mins )
423/2657	(GI:42566366) is finished	(44.1 mins )
424/2657	(GI:18414478) is finished	(44.16 mins )
425/2657	(GI:18413878) is finished	(44.17 mins )
426/2657	(GI:186511452) is finished	(44.07 mins )
427/2657	(GI:18411489) is finished	(44.0 mins )
428/2657	(GI:186511674) is finished	(43.93 mins )
429/2657	(GI:238480643) is finished	(43.85 mins )
430/2657	(GI:238480184) is finished	(43.8 mins )
431/2657	(GI:18412703) is finished	(43.75 mins )
432/2657	(GI:15230997) is finished	(43.8 mins )
433/2657	(GI:18414114) is finished	(43.77 mins )
434/2657	(GI:240255685) is finished	(43.69 mins )
435/2657	(GI:30683070) is finished	(43.67 mins )
436/2657	(GI:15230388) is finished	(43.72 mins )
437/2657	(GI:18414239) is finished	(43.67 mins )
438/2657	(GI:15234446) is finished	(43.67 mins )
439/2657	(GI:79325081) is finished	(43.7 mins )
440/2657	(GI:15229360) is finished	(43.62 mins )
441/2657	(GI:186511257) is finished	(43.52 mins )
442/2657	(GI:79325035) is finished	(43.43 mins )
443/2657	(GI:79325045) is finished	(43.38 mins )
444/2657	(GI:22328170) is finished	(43.37 mins )
445/2657	(GI:30678658) is finished	(43.31 mins )
446/2657	(GI:79473201) is finished	(43.29 mins )
447/2657	(GI:18414430) is finished	(43.31 mins )
448/2657	(GI:30682610) is finished	(43.34 mins )
449/2657	(GI:30679238) is finished	(43.36 mins )
450/2657	(GI:18414004) is finished	(43.37 mins )
451/2657	(GI:186511430) is finished	(43.27 mins )
452/2657	(GI:15234316) is finished	(43.25 mins )
453/2657	(GI:79324955) is finished	(43.16 mins )
454/2657	(GI:42566048) is finished	(43.21 mins )
455/2657	(GI:15234514) is finished	(43.26 mins )
456/2657	(GI:15234525) is finished	(43.23 mins )
457/2657	(GI:79315898) is finished	(43.26 mins )
458/2657	(GI:145339748) is finished	(43.24 mins )
459/2657	(GI:15232396) is finished	(43.2 mins )
460/2657	(GI:22328317) is finished	(43.15 mins )
461/2657	(GI:186511272) is finished	(43.05 mins )
462/2657	(GI:30680970) is finished	(43.04 mins )
463/2657	(GI:18413742) is finished	(42.96 mins )
464/2657	(GI:18414198) is finished	(43.02 mins )
465/2657	(GI:15234361) is finished	(43.13 mins )
466/2657	(GI:15233392) is finished	(43.14 mins )
467/2657	(GI:18411133) is finished	(43.05 mins )
468/2657	(GI:22328167) is finished	(42.98 mins )
469/2657	(GI:238480312) is finished	(42.91 mins )
470/2657	(GI:145332953) is finished	(42.84 mins )
471/2657	(GI:186511573) is finished	(42.78 mins )
472/2657	(GI:15233725) is finished	(42.8 mins )
473/2657	(GI:42566201) is finished	(42.74 mins )
474/2657	(GI:186511637) is finished	(42.65 mins )
475/2657	(GI:18413505) is finished	(42.68 mins )
476/2657	(GI:15237080) is finished	(42.77 mins )
477/2657	(GI:15234752) is finished	(42.85 mins )
478/2657	(GI:15236332) is finished	(42.87 mins )
479/2657	(GI:42572801) is finished	(42.79 mins )
480/2657	(GI:79597805) is finished	(42.73 mins )
481/2657	(GI:22328612) is finished	(42.65 mins )
482/2657	(GI:42566107) is finished	(42.61 mins )
483/2657	(GI:79316129) is finished	(42.57 mins )
484/2657	(GI:30680322) is finished	(42.69 mins )
485/2657	(GI:145332951) is finished	(42.7 mins )
486/2657	(GI:30695452) is finished	(42.64 mins )
487/2657	(GI:18411677) is finished	(42.56 mins )
488/2657	(GI:15231753) is finished	(42.6 mins )
489/2657	(GI:15233033) is finished	(42.58 mins )
490/2657	(GI:18412177) is finished	(42.63 mins )
491/2657	(GI:15234951) is finished	(42.62 mins )
492/2657	(GI:240255895) is finished	(42.62 mins )
493/2657	(GI:15234661) is finished	(42.55 mins )
494/2657	(GI:15235621) is finished	(42.59 mins )
495/2657	(GI:30681405) is finished	(42.56 mins )
496/2657	(GI:18413321) is finished	(42.47 mins )
497/2657	(GI:15234152) is finished	(42.5 mins )
498/2657	(GI:186511577) is finished	(42.41 mins )
499/2657	(GI:15234116) is finished	(42.38 mins )
500/2657	(GI:15234489) is finished	(42.34 mins )
501/2657	(GI:15231074) is finished	(42.38 mins )
502/2657	(GI:15235565) is finished	(42.38 mins )
503/2657	(GI:22328559) is finished	(42.36 mins )
504/2657	(GI:30683050) is finished	(42.37 mins )
505/2657	(GI:15234056) is finished	(42.42 mins )
506/2657	(GI:30679051) is finished	(42.4 mins )
507/2657	(GI:15234136) is finished	(42.33 mins )
508/2657	(GI:145332949) is finished	(42.27 mins )
509/2657	(GI:22331846) is finished	(42.26 mins )
510/2657	(GI:186511332) is finished	(42.17 mins )
511/2657	(GI:15233500) is finished	(42.21 mins )
512/2657	(GI:30678989) is finished	(42.12 mins )
513/2657	(GI:15233615) is finished	(42.06 mins )
514/2657	(GI:30681187) is finished	(42.0 mins )
515/2657	(GI:18410774) is finished	(41.97 mins )
516/2657	(GI:42572747) is finished	(41.89 mins )
517/2657	(GI:15234659) is finished	(41.96 mins )
518/2657	(GI:240255797) is finished	(41.94 mins )
519/2657	(GI:15235390) is finished	(41.92 mins )
520/2657	(GI:15230940) is finished	(41.84 mins )
521/2657	(GI:15233518) is finished	(41.84 mins )
522/2657	(GI:145333001) is finished	(41.76 mins )
523/2657	(GI:15235502) is finished	(41.75 mins )
524/2657	(GI:15231014) is finished	(41.75 mins )
525/2657	(GI:18411352) is finished	(41.74 mins )
526/2657	(GI:186511356) is finished	(41.67 mins )
527/2657	(GI:30694813) is finished	(41.66 mins )
528/2657	(GI:30683191) is finished	(41.68 mins )
529/2657	(GI:15234472) is finished	(41.67 mins )
530/2657	(GI:238480247) is finished	(41.62 mins )
531/2657	(GI:42566341) is finished	(41.59 mins )
532/2657	(GI:15237092) is finished	(41.57 mins )
533/2657	(GI:15236479) is finished	(41.51 mins )
534/2657	(GI:42572859) is finished	(41.46 mins )
535/2657	(GI:79315506) is finished	(41.49 mins )
536/2657	(GI:42566521) is finished	(41.45 mins )
537/2657	(GI:18411222) is finished	(41.48 mins )
