1/8581	(GI:15230683) is finished	(217.62 mins )
207/8581	(GI:186510918) is finished	(175.95 mins )
208/8581	(GI:15228925) is finished	(175.64 mins )
209/8581	(GI:238479664) is finished	(175.1 mins )
210/8581	(GI:30692236) is finished	(175.08 mins )
211/8581	(GI:15230277) is finished	(174.43 mins )
212/8581	(GI:15232007) is finished	(173.77 mins )
213/8581	(GI:18410896) is finished	(173.29 mins )
214/8581	(GI:30680583) is finished	(173.0 mins )
215/8581	(GI:42572645) is finished	(172.48 mins )
216/8581	(GI:238480344) is finished	(172.73 mins )
217/8581	(GI:79313167) is finished	(172.44 mins )
218/8581	(GI:145332861) is finished	(172.7 mins )
219/8581	(GI:42572301) is finished	(172.19 mins )
220/8581	(GI:22328515) is finished	(171.92 mins )
221/8581	(GI:18401203) is finished	(172.66 mins )
222/8581	(GI:186509939) is finished	(172.8 mins )
223/8581	(GI:30678440) is finished	(172.47 mins )
224/8581	(GI:15231327) is finished	(171.83 mins )
225/8581	(GI:15230714) is finished	(171.94 mins )
226/8581	(GI:18401978) is finished	(171.88 mins )
227/8581	(GI:42566349) is finished	(171.41 mins )
228/8581	(GI:18395919) is finished	(170.93 mins )
229/8581	(GI:42572877) is finished	(170.62 mins )
230/8581	(GI:186511415) is finished	(170.25 mins )
231/8581	(GI:15230438) is finished	(170.62 mins )
232/8581	(GI:15230248) is finished	(171.97 mins )
233/8581	(GI:42565953) is finished	(171.94 mins )
234/8581	(GI:18402225) is finished	(172.31 mins )
235/8581	(GI:22331796) is finished	(172.61 mins )
236/8581	(GI:18400838) is finished	(173.36 mins )
237/8581	(GI:15233292) is finished	(175.32 mins )
238/8581	(GI:18398696) is finished	(175.32 mins )
239/8581	(GI:145332851) is finished	(175.18 mins )
240/8581	(GI:42572445) is finished	(175.45 mins )
241/8581	(GI:15231703) is finished	(175.33 mins )
242/8581	(GI:238479965) is finished	(175.67 mins )
243/8581	(GI:30683237) is finished	(176.16 mins )
244/8581	(GI:238479842) is finished	(175.87 mins )
245/8581	(GI:79607883) is finished	(176.13 mins )
246/8581	(GI:18410530) is finished	(176.3 mins )
247/8581	(GI:30681485) is finished	(176.04 mins )
248/8581	(GI:186509847) is finished	(176.05 mins )
249/8581	(GI:22328173) is finished	(175.73 mins )
250/8581	(GI:15228821) is finished	(177.06 mins )
251/8581	(GI:22328616) is finished	(177.15 mins )
252/8581	(GI:15234806) is finished	(176.56 mins )
253/8581	(GI:18412629) is finished	(176.29 mins )
254/8581	(GI:30686826) is finished	(176.07 mins )
255/8581	(GI:240255857) is finished	(176.07 mins )
256/8581	(GI:22328442) is finished	(175.56 mins )
257/8581	(GI:15229159) is finished	(176.15 mins )
258/8581	(GI:42572513) is finished	(175.99 mins )
259/8581	(GI:15229057) is finished	(175.76 mins )
260/8581	(GI:15232141) is finished	(175.66 mins )
261/8581	(GI:15229743) is finished	(175.78 mins )
262/8581	(GI:15230691) is finished	(176.46 mins )
263/8581	(GI:15233038) is finished	(175.91 mins )
264/8581	(GI:15231907) is finished	(176.34 mins )
265/8581	(GI:15229131) is finished	(176.23 mins )
266/8581	(GI:145338189) is finished	(176.08 mins )
267/8581	(GI:15231213) is finished	(175.54 mins )
268/8581	(GI:145332633) is finished	(176.84 mins )
269/8581	(GI:15231140) is finished	(177.45 mins )
270/8581	(GI:18404044) is finished	(177.5 mins )
271/8581	(GI:186510546) is finished	(177.51 mins )
272/8581	(GI:15229292) is finished	(177.72 mins )
273/8581	(GI:240255605) is finished	(177.63 mins )
274/8581	(GI:238479989) is finished	(177.91 mins )
275/8581	(GI:15229220) is finished	(177.38 mins )
276/8581	(GI:240255752) is finished	(176.97 mins )
277/8581	(GI:186509997) is finished	(176.45 mins )
278/8581	(GI:22328428) is finished	(176.05 mins )
279/8581	(GI:15232545) is finished	(175.68 mins )
280/8581	(GI:145332891) is finished	(176.0 mins )
281/8581	(GI:186510961) is finished	(175.76 mins )
282/8581	(GI:15229692) is finished	(175.5 mins )
283/8581	(GI:240255510) is finished	(175.49 mins )
284/8581	(GI:79400588) is finished	(175.07 mins )
285/8581	(GI:15233048) is finished	(175.46 mins )
286/8581	(GI:15233261) is finished	(175.48 mins )
287/8581	(GI:79474381) is finished	(176.55 mins )
288/8581	(GI:15232004) is finished	(176.2 mins )
289/8581	(GI:15230639) is finished	(176.25 mins )
290/8581	(GI:186511546) is finished	(176.63 mins )
291/8581	(GI:15232595) is finished	(176.78 mins )
292/8581	(GI:79587721) is finished	(176.69 mins )
293/8581	(GI:15229919) is finished	(177.15 mins )
294/8581	(GI:15229016) is finished	(177.54 mins )
295/8581	(GI:18395902) is finished	(177.33 mins )
296/8581	(GI:15232674) is finished	(178.19 mins )
297/8581	(GI:79314042) is finished	(177.7 mins )
298/8581	(GI:15228951) is finished	(177.7 mins )
299/8581	(GI:79313327) is finished	(177.6 mins )
300/8581	(GI:15231513) is finished	(177.31 mins )
301/8581	(GI:15230295) is finished	(177.61 mins )
302/8581	(GI:15228805) is finished	(177.53 mins )
303/8581	(GI:145339305) is finished	(177.67 mins )
304/8581	(GI:15228203) is finished	(177.71 mins )
305/8581	(GI:15232695) is finished	(177.85 mins )
306/8581	(GI:15232244) is finished	(177.53 mins )
307/8581	(GI:238479754) is finished	(177.43 mins )
308/8581	(GI:15232337) is finished	(177.65 mins )
309/8581	(GI:18399439) is finished	(177.54 mins )
310/8581	(GI:15232422) is finished	(177.14 mins )
311/8581	(GI:42572213) is finished	(176.76 mins )
312/8581	(GI:240255326) is finished	(176.73 mins )
313/8581	(GI:15232857) is finished	(176.42 mins )
314/8581	(GI:15232888) is finished	(176.28 mins )
315/8581	(GI:30678698) is finished	(175.93 mins )
316/8581	(GI:186509740) is finished	(176.05 mins )
317/8581	(GI:15232831) is finished	(175.6 mins )
318/8581	(GI:79448408) is finished	(175.8 mins )
319/8581	(GI:18397925) is finished	(175.87 mins )
320/8581	(GI:15232123) is finished	(175.63 mins )
321/8581	(GI:15228433) is finished	(175.28 mins )
322/8581	(GI:15228558) is finished	(175.6 mins )
323/8581	(GI:15231227) is finished	(175.68 mins )
324/8581	(GI:15231534) is finished	(176.0 mins )
325/8581	(GI:15229408) is finished	(176.33 mins )
326/8581	(GI:18400970) is finished	(175.97 mins )
327/8581	(GI:18414279) is finished	(175.95 mins )
328/8581	(GI:15232158) is finished	(175.61 mins )
329/8581	(GI:30683851) is finished	(175.42 mins )
330/8581	(GI:15229293) is finished	(175.39 mins )
331/8581	(GI:15232105) is finished	(175.29 mins )
332/8581	(GI:15228496) is finished	(175.2 mins )
333/8581	(GI:42572593) is finished	(175.14 mins )
334/8581	(GI:30693547) is finished	(175.01 mins )
335/8581	(GI:15228314) is finished	(174.68 mins )
336/8581	(GI:18397715) is finished	(174.24 mins )
337/8581	(GI:79444413) is finished	(174.41 mins )
338/8581	(GI:22331122) is finished	(174.59 mins )
339/8581	(GI:15231321) is finished	(174.75 mins )
340/8581	(GI:145331970) is finished	(174.65 mins )
341/8581	(GI:15230351) is finished	(174.34 mins )
342/8581	(GI:22331357) is finished	(174.43 mins )
343/8581	(GI:15236950) is finished	(174.13 mins )
344/8581	(GI:18407913) is finished	(174.04 mins )
345/8581	(GI:145339635) is finished	(174.48 mins )
346/8581	(GI:145331746) is finished	(174.6 mins )
347/8581	(GI:30678803) is finished	(174.89 mins )
348/8581	(GI:186510984) is finished	(174.48 mins )
349/8581	(GI:30692767) is finished	(174.99 mins )
350/8581	(GI:18408520) is finished	(174.57 mins )
351/8581	(GI:15231317) is finished	(174.57 mins )
352/8581	(GI:238480080) is finished	(174.48 mins )
353/8581	(GI:15232793) is finished	(174.79 mins )
354/8581	(GI:240255330) is finished	(174.71 mins )
355/8581	(GI:18396922) is finished	(174.32 mins )
356/8581	(GI:15231994) is finished	(174.08 mins )
357/8581	(GI:15234689) is finished	(174.02 mins )
358/8581	(GI:186510458) is finished	(173.6 mins )
359/8581	(GI:15234551) is finished	(173.96 mins )
360/8581	(GI:30695337) is finished	(173.94 mins )
361/8581	(GI:18408899) is finished	(174.08 mins )
362/8581	(GI:15230652) is finished	(173.7 mins )
363/8581	(GI:30680336) is finished	(173.38 mins )
364/8581	(GI:238479618) is finished	(173.0 mins )
365/8581	(GI:145332401) is finished	(172.8 mins )
366/8581	(GI:145338250) is finished	(172.5 mins )
367/8581	(GI:30678490) is finished	(173.72 mins )
368/8581	(GI:42572809) is finished	(173.6 mins )
369/8581	(GI:186510676) is finished	(173.29 mins )
370/8581	(GI:79314533) is finished	(173.36 mins )
371/8581	(GI:42566399) is finished	(173.77 mins )
372/8581	(GI:18409516) is finished	(173.38 mins )
373/8581	(GI:15229806) is finished	(173.1 mins )
374/8581	(GI:15230520) is finished	(173.62 mins )
375/8581	(GI:30688146) is finished	(173.47 mins )
376/8581	(GI:15236691) is finished	(173.5 mins )
377/8581	(GI:15233496) is finished	(173.65 mins )
378/8581	(GI:15231073) is finished	(173.88 mins )
379/8581	(GI:15231839) is finished	(174.13 mins )
380/8581	(GI:15230176) is finished	(174.27 mins )
381/8581	(GI:186510974) is finished	(173.87 mins )
382/8581	(GI:240255745) is finished	(173.57 mins )
383/8581	(GI:22331190) is finished	(173.29 mins )
384/8581	(GI:240255774) is finished	(173.24 mins )
385/8581	(GI:79596870) is finished	(172.97 mins )
386/8581	(GI:42572237) is finished	(173.59 mins )
387/8581	(GI:15234362) is finished	(174.12 mins )
388/8581	(GI:145332705) is finished	(173.94 mins )
389/8581	(GI:79415879) is finished	(173.84 mins )
390/8581	(GI:15234750) is finished	(173.54 mins )
391/8581	(GI:15229361) is finished	(173.83 mins )
392/8581	(GI:30679031) is finished	(173.96 mins )
393/8581	(GI:15234735) is finished	(173.91 mins )
394/8581	(GI:15231974) is finished	(173.79 mins )
395/8581	(GI:18398046) is finished	(173.69 mins )
396/8581	(GI:238479693) is finished	(173.66 mins )
397/8581	(GI:186510535) is finished	(173.3 mins )
398/8581	(GI:15233144) is finished	(173.41 mins )
399/8581	(GI:30678464) is finished	(173.37 mins )
400/8581	(GI:42565594) is finished	(173.25 mins )
401/8581	(GI:42572273) is finished	(173.35 mins )
402/8581	(GI:15228394) is finished	(173.15 mins )
403/8581	(GI:22331682) is finished	(173.33 mins )
404/8581	(GI:15231049) is finished	(173.68 mins )
405/8581	(GI:15228735) is finished	(173.63 mins )
406/8581	(GI:15232435) is finished	(173.96 mins )
407/8581	(GI:240255306) is finished	(173.83 mins )
408/8581	(GI:18404505) is finished	(173.61 mins )
409/8581	(GI:15229832) is finished	(173.61 mins )
410/8581	(GI:18411555) is finished	(173.34 mins )
411/8581	(GI:15230401) is finished	(173.24 mins )
412/8581	(GI:15228437) is finished	(173.43 mins )
413/8581	(GI:15231440) is finished	(173.1 mins )
414/8581	(GI:186510340) is finished	(172.74 mins )
415/8581	(GI:18410440) is finished	(172.47 mins )
416/8581	(GI:42572441) is finished	(172.24 mins )
417/8581	(GI:186510634) is finished	(171.89 mins )
418/8581	(GI:22331421) is finished	(171.55 mins )
419/8581	(GI:30683724) is finished	(171.33 mins )
420/8581	(GI:15231789) is finished	(171.27 mins )
421/8581	(GI:18406019) is finished	(171.31 mins )
422/8581	(GI:18402475) is finished	(171.33 mins )
423/8581	(GI:15235835) is finished	(171.2 mins )
424/8581	(GI:18414384) is finished	(170.94 mins )
425/8581	(GI:30679777) is finished	(171.27 mins )
426/8581	(GI:42572833) is finished	(171.01 mins )
427/8581	(GI:30678779) is finished	(170.75 mins )
428/8581	(GI:15235397) is finished	(170.43 mins )
429/8581	(GI:186510850) is finished	(170.12 mins )
430/8581	(GI:15230305) is finished	(169.86 mins )
431/8581	(GI:79313311) is finished	(169.59 mins )
432/8581	(GI:30678963) is finished	(169.32 mins )
433/8581	(GI:15231406) is finished	(169.76 mins )
434/8581	(GI:145332773) is finished	(169.62 mins )
435/8581	(GI:30681959) is finished	(169.63 mins )
436/8581	(GI:42565972) is finished	(169.6 mins )
437/8581	(GI:30679450) is finished	(169.57 mins )
438/8581	(GI:18408744) is finished	(169.63 mins )
439/8581	(GI:30678433) is finished	(169.53 mins )
440/8581	(GI:30681809) is finished	(169.28 mins )
441/8581	(GI:15236606) is finished	(169.54 mins )
442/8581	(GI:186511350) is finished	(169.21 mins )
443/8581	(GI:22331688) is finished	(168.96 mins )
444/8581	(GI:238479961) is finished	(168.88 mins )
445/8581	(GI:30683597) is finished	(169.76 mins )
446/8581	(GI:186510997) is finished	(169.42 mins )
447/8581	(GI:15229468) is finished	(169.68 mins )
448/8581	(GI:15230132) is finished	(169.56 mins )
449/8581	(GI:79314743) is finished	(169.52 mins )
450/8581	(GI:15233240) is finished	(169.7 mins )
451/8581	(GI:145332935) is finished	(169.56 mins )
452/8581	(GI:15235414) is finished	(169.24 mins )
453/8581	(GI:186510435) is finished	(168.93 mins )
454/8581	(GI:15231657) is finished	(169.24 mins )
455/8581	(GI:15231832) is finished	(168.95 mins )
456/8581	(GI:30681260) is finished	(168.82 mins )
457/8581	(GI:18396282) is finished	(168.65 mins )
458/8581	(GI:15232960) is finished	(168.87 mins )
459/8581	(GI:15231775) is finished	(169.22 mins )
460/8581	(GI:15228248) is finished	(169.35 mins )
461/8581	(GI:22331889) is finished	(169.1 mins )
462/8581	(GI:15230136) is finished	(169.33 mins )
463/8581	(GI:15229861) is finished	(169.07 mins )
464/8581	(GI:30694583) is finished	(168.78 mins )
465/8581	(GI:18405276) is finished	(168.88 mins )
466/8581	(GI:18412127) is finished	(168.75 mins )
467/8581	(GI:18411935) is finished	(169.09 mins )
468/8581	(GI:238479731) is finished	(168.85 mins )
469/8581	(GI:42563535) is finished	(168.8 mins )
470/8581	(GI:42565943) is finished	(168.94 mins )
471/8581	(GI:30694663) is finished	(169.17 mins )
472/8581	(GI:15233015) is finished	(169.14 mins )
473/8581	(GI:15229143) is finished	(169.28 mins )
474/8581	(GI:15229482) is finished	(169.25 mins )
475/8581	(GI:186510319) is finished	(169.23 mins )
476/8581	(GI:15229671) is finished	(168.93 mins )
477/8581	(GI:145332943) is finished	(168.78 mins )
478/8581	(GI:42572323) is finished	(169.21 mins )
479/8581	(GI:15233069) is finished	(169.41 mins )
480/8581	(GI:30679026) is finished	(169.63 mins )
481/8581	(GI:15229817) is finished	(169.46 mins )
482/8581	(GI:186510618) is finished	(169.25 mins )
483/8581	(GI:15233098) is finished	(169.08 mins )
484/8581	(GI:15235300) is finished	(169.12 mins )
485/8581	(GI:145332022) is finished	(169.14 mins )
486/8581	(GI:18400774) is finished	(169.12 mins )
487/8581	(GI:79416711) is finished	(168.92 mins )
488/8581	(GI:18413928) is finished	(168.7 mins )
489/8581	(GI:15230582) is finished	(168.75 mins )
490/8581	(GI:30681234) is finished	(168.54 mins )
491/8581	(GI:145333003) is finished	(168.78 mins )
492/8581	(GI:22331006) is finished	(168.99 mins )
493/8581	(GI:15230773) is finished	(168.75 mins )
494/8581	(GI:30679302) is finished	(169.09 mins )
495/8581	(GI:15234472) is finished	(169.09 mins )
496/8581	(GI:15230566) is finished	(169.29 mins )
497/8581	(GI:15233204) is finished	(169.48 mins )
498/8581	(GI:15234987) is finished	(169.27 mins )
499/8581	(GI:145331986) is finished	(169.26 mins )
500/8581	(GI:15232398) is finished	(169.22 mins )
501/8581	(GI:30678519) is finished	(169.2 mins )
502/8581	(GI:42572601) is finished	(169.24 mins )
503/8581	(GI:15231860) is finished	(169.54 mins )
504/8581	(GI:18400769) is finished	(169.8 mins )
505/8581	(GI:186511324) is finished	(169.52 mins )
506/8581	(GI:15228596) is finished	(169.48 mins )
507/8581	(GI:15230348) is finished	(169.33 mins )
508/8581	(GI:186511666) is finished	(169.03 mins )
509/8581	(GI:30692535) is finished	(168.97 mins )
510/8581	(GI:18397457) is finished	(168.78 mins )
511/8581	(GI:18404556) is finished	(168.69 mins )
512/8581	(GI:15230133) is finished	(168.82 mins )
513/8581	(GI:30694043) is finished	(168.68 mins )
514/8581	(GI:18399357) is finished	(168.47 mins )
515/8581	(GI:18405094) is finished	(168.41 mins )
516/8581	(GI:15231591) is finished	(168.46 mins )
517/8581	(GI:42572263) is finished	(168.76 mins )
518/8581	(GI:186510246) is finished	(168.48 mins )
519/8581	(GI:186509986) is finished	(168.2 mins )
520/8581	(GI:79313143) is finished	(167.98 mins )
521/8581	(GI:30691988) is finished	(168.07 mins )
522/8581	(GI:15233244) is finished	(168.68 mins )
523/8581	(GI:15229715) is finished	(168.83 mins )
524/8581	(GI:18403812) is finished	(168.64 mins )
525/8581	(GI:42572315) is finished	(168.43 mins )
526/8581	(GI:15236291) is finished	(168.56 mins )
527/8581	(GI:145332781) is finished	(168.3 mins )
528/8581	(GI:42564231) is finished	(168.44 mins )
529/8581	(GI:15231447) is finished	(168.44 mins )
530/8581	(GI:15231165) is finished	(168.27 mins )
531/8581	(GI:15236931) is finished	(168.15 mins )
532/8581	(GI:15236702) is finished	(168.2 mins )
533/8581	(GI:15231646) is finished	(168.43 mins )
534/8581	(GI:15232718) is finished	(168.36 mins )
535/8581	(GI:15230660) is finished	(168.41 mins )
536/8581	(GI:15228939) is finished	(168.48 mins )
537/8581	(GI:15231260) is finished	(168.27 mins )
